,appliance_id,appliance_name,routine_id,user_id
104,3,Light Oven,45,
105,2,Electronic Range,46,
106,4,Washing Machine,46,
107,2,Electronic Range,47,
108,5,Dryer,47,
109,2,Electronic Range,48,
110,6,Robot Cleaner,48,
111,2,Electronic Range,49,
112,7,Air Conditioner,49,
113,2,Electronic Range,50,
114,8,Air Cleaner,50,
115,2,Electronic Range,51,
116,9,Styler,51,
117,3,Light Oven,52,
118,4,Washing Machine,52,
119,3,Light Oven,53,
120,5,Dryer,53,
121,3,Light Oven,54,
122,6,Robot Cleaner,54,
123,3,Light Oven,55,
124,7,Air Conditioner,55,
125,3,Light Oven,56,
126,8,Air Cleaner,56,
127,3,Light Oven,57,
128,9,Styler,57,
129,4,Washing Machine,58,
130,5,Dryer,58,
131,4,Washing Machine,59,
132,6,Robot Cleaner,59,
133,4,Washing Machine,60,
134,7,Air Conditioner,60,
135,4,Washing Machine,61,
136,8,Air Cleaner,61,
137,4,Washing Machine,62,
138,9,Styler,62,
139,5,Dryer,63,
140,6,Robot Cleaner,63,
141,5,Dryer,64,
142,7,Air Conditioner,64,
143,5,Dryer,65,
144,8,Air Cleaner,65,
145,5,Dryer,66,
146,9,Styler,66,
147,6,Robot Cleaner,67,
148,7,Air Conditioner,67,
149,6,Robot Cleaner,68,
150,8,Air Cleaner,68,
151,6,Robot Cleaner,69,
152,9,Styler,69,
153,7,Air Conditioner,70,
154,8,Air Cleaner,70,
155,7,Air Conditioner,71,
156,9,Styler,71,
157,8,Air Cleaner,72,
158,9,Styler,72,
159,2,Electronic Range,73,
160,3,Light Oven,73,
161,8,Air Cleaner,73,
162,7,Air Conditioner,74,
163,8,Air Cleaner,74,
164,7,Air Conditioner,75,
165,8,Air Cleaner,75,
166,4,Washing Machine,76,
167,5,Dryer,76,
168,9,Styler,76,
169,1,TV,77,
170,7,Air Conditioner,77,
171,1,TV,78,
172,7,Air Conditioner,78,
173,1,TV,79,
174,4,Washing Machine,79,
175,6,Robot Cleaner,79,
176,8,Air Cleaner,79,
177,1,TV,80,
178,2,Electronic Range,80,
179,3,Light Oven,80,
180,8,Air Cleaner,80,
181,1,TV,81,
182,6,Robot Cleaner,81,
183,8,Air Cleaner,81,
184,1,TV,82,
185,6,Robot Cleaner,82,
186,8,Air Cleaner,82,
187,1,TV,83,
188,6,Robot Cleaner,83,
189,7,Air Conditioner,83,
190,8,Air Cleaner,83,
191,1,TV,84,
192,7,Air Conditioner,84,
193,9,Styler,84,
194,1,TV,85,
195,7,Air Conditioner,85,
196,9,Styler,85,
197,3,Light Oven,86,
198,8,Air Cleaner,86,
199,1,TV,87,
200,7,Air Conditioner,87,
201,1,TV,88,
202,4,Washing Machine,88,
203,1,TV,89,
204,5,Dryer,89,
205,1,TV,90,
206,2,Electronic Range,90,
207,1,TV,91,
208,7,Air Conditioner,91,
209,1,TV,92,
210,8,Air Cleaner,92,
211,2,Electronic Range,93,
212,3,Light Oven,93,
213,2,Electronic Range,94,
214,7,Air Conditioner,94,
215,3,Light Oven,95,
216,8,Air Cleaner,95,
217,4,Washing Machine,96,
218,6,Robot Cleaner,96,
219,4,Washing Machine,97,
220,7,Air Conditioner,97,
221,5,Dryer,98,
222,6,Robot Cleaner,98,
223,5,Dryer,99,
224,9,Styler,99,
225,6,Robot Cleaner,100,
226,7,Air Conditioner,100,
227,6,Robot Cleaner,101,
228,8,Air Cleaner,101,
229,6,Robot Cleaner,102,
230,9,Styler,102,
231,7,Air Conditioner,103,
232,8,Air Cleaner,103,
233,7,Air Conditioner,104,
234,9,Styler,104,
235,8,Air Cleaner,105,
236,9,Styler,105,
